field,value
company_name,TechNova Solutions Pvt Ltd
founded_year,2018
industry,Software Development & AI Services
headquarters,Pune India
total_employees,320
website,www.technova.com
support_email,support@technova.com
working_hours,9:00 AM - 6:00 PM
work_mode,Hybrid
mission,Build scalable technology that simplifies everyday business operations
vision,Become a global AI-first product company
core_values,Innovation, Customer Centricity, Integrity, Collaboration, Excellence
products,AI-powered CRM, Cloud-based ERP, Custom Software Solutions for SMEs
key_clients,FinServe Bank, HealthPlus Clinics, EduSmart Learning
awards,Best AI Startup 2020 by TechWorld, Top 10 Emerging Software Companies 2021 by SoftPro Magazine
