Network_ID,Device_Type,IP_Address,MAC_Address,VLAN,Subnet,Status,Last_Ping,CPU_Usage_Percent,Traffic_Load_MB,Open_Ports
N300,Firewall,186.165.169.195,9a:61:eb:ff:2a:3a,78,215.168.30.0/24,Maintenance,2026-01-07 20:48:12,77,952,22
N301,Firewall,118.75.108.61,20:a2:76:f7:7c:56,34,200.168.249.0/24,Online,2026-01-06 21:36:58,50,526,22
N302,Firewall,138.201.88.34,3f:5b:f1:46:ac:a4,72,210.168.29.0/24,Offline,2025-12-30 04:07:54,61,197,443
N303,Firewall,30.72.5.200,c3:e8:4c:39:8c:d6,39,200.168.98.0/24,Offline,2026-01-04 15:28:52,14,336,80
N304,Firewall,118.55.127.208,66:53:08:a0:e3:6a,50,209.168.151.0/24,Maintenance,2025-12-23 12:07:51,99,169,3306
N305,Firewall,44.28.11.239,cd:b9:2c:ca:e3:20,90,198.168.150.0/24,Online,2025-12-22 18:16:44,66,473,3306
N306,Firewall,132.218.54.134,fb:b5:d8:4f:75:97,25,214.168.85.0/24,Offline,2025-12-30 09:39:36,78,404,443
N307,Firewall,139.94.159.183,ba:e6:9f:9c:58:51,37,195.168.154.0/24,Maintenance,2026-01-01 21:41:27,33,845,8080
N308,Firewall,200.70.105.0,1e:89:a0:69:97:7d,41,199.168.58.0/24,Online,2025-12-28 21:43:09,22,705,22
N309,Firewall,217.23.216.113,ae:13:4b:d9:5e:27,98,206.168.155.0/24,Maintenance,2026-01-12 22:31:01,38,319,8080
