Software_ID,Product_Name,Version,License_Type,No_of_Seats,Renewal_Date
S500,VSCode,6.0,Subscription,20,2028-12-04
S501,AutoCAD,2.1,Subscription,17,2028-11-28
S502,AutoCAD,10.0,Subscription,29,2027-09-12
S503,Slack,3.3,Subscription,39,2027-08-17
S504,Office,7.6,Subscription,44,2027-09-12
S505,VSCode,1.5,Subscription,4,2026-09-05
S506,Zoom,7.4,Perpetual,49,2027-01-24
S507,Slack,2.0,Perpetual,20,2028-10-10
S508,Slack,8.7,Perpetual,36,2028-05-11
S509,VSCode,1.6,Subscription,39,2028-09-12
S510,VSCode,7.9,Subscription,9,2027-12-14
S511,AutoCAD,9.4,Perpetual,19,2027-05-12
S512,Zoom,1.8,Perpetual,9,2028-01-09
S513,VSCode,9.9,Subscription,42,2028-01-07
S514,VSCode,4.9,Perpetual,33,2028-10-30
S515,AutoCAD,1.4,Perpetual,31,2028-05-11
S516,Zoom,2.9,Perpetual,46,2027-07-13
S517,Slack,5.5,Perpetual,13,2028-01-18
S518,Slack,7.8,Subscription,11,2028-09-17
S519,AutoCAD,7.7,Subscription,7,2028-07-11
